,Text,Score
0,"On tap at the Springfield, PA location. Poured a deep and cloudy orange (almost a copper) color with a small sized off white head. Aromas or oranges and all around citric. Tastes of oranges, light caramel and a very light grapefruit finish. I too would not believe the 80+ IBUs - I found this one to have a very light bitterness with a medium sweetness to it. Light lacing left on the glass.
",0.65
1,"On tap at the John Harvards in Springfield PA.  Pours a ruby red amber with a medium off whie creamy head that left light lacing.  Aroma of orange and various other citrus.  A little light for what I was expecting from this beers aroma...expecting more from the Simcoe.  Flavor of pine, orange, grapefruit and some malt balance.  Very light bitterness for the 80+ IBUs they said this one had.
",0.65
2,"UPDATED: FEB 19, 2003 Springfield, PA. I've never had the Budvar Cristal but this is exactly what I imagined it to be.  A clean and refreshing, hoppy beer, med bodied with plenty of flavor.  This beer's only downfall is an unpleasant bitterness in the aftertaste.
",0.7
3,"On tap the Springfield PA location billed as the ""Fancy Lawnmower Light"".  Pours a translucent clear yellow with a small bubbly white head.  Aroma was lightly sweet and malty, really no hop presence.  Flavor was light, grainy, grassy and malty.  Just really light in flavor and aroma overall. Watery.
",0.4
4,"On tap at the Springfield, PA location. Poured a lighter golden color with a very small, if any head. Aromas and tastes of grain, very lightly fruity with a light grassy finish. Lively yet thin and watery body. Oh yeah, the person seating me told me this was a new one and was a Pale Ale even though the menu he gave me listed it as a lighter beer brewed in the Kolsh style.
",0.4
5,"Springfield, PA location... Poured an opaque black color with a creamy tan head and nice lacing.  Strong vanilla and roasted malt aroma.  Creamy taste of coffee, chocolate and vanilla. The bartender told me this was an imperial stout at about 8%.  She didn't convince me, there was no alcohol to be found, and it was sweet as hell!  But still good.
",0.8
6,"On tap at the Springfield, PA location. Listed on the beer menu as ""James Brown Ale"". Had the regular and cask version. Poured a deep brown color with an averaged sized off white head (cask had a huge head). Ill stop on the cask version here as I found it to smell and taste like buttered popcorn. The regular had aromas of nuts, light chocolate, and roast. Taste of chocolate, nuts, very light roast and caramel.	 Tasted on 9/7/2006 and moved over as part of the John Harvard clean up.
",0.6
7,"Sampled @ the Springfield, PA location.   Candi Sugar dominates this Belgian Ale.  Beer was on the flat side but had a nice crimson color.   Enjoyable Belgian Ale, I did not expect John Harvards to have it in its line-up.
",0.7
8,"Springfield... Poured a hazy copper color with a medium sized, off white head that left spotty lacing on the glass.  Aroma of yeast, dried fruits, clove, banana, and cherries, with light roastiness.  Aroma was very dubbelish.  Herbal taste of dark fruits, yeast and alcohol was barely noticed.  Slick mouthfeel.  Could have been more flavorful.
",0.8
9,"UPDATED: FEB 19, 2003 Springfield, PA. Darkish copper colored, with no head -	probably poured like that on purpose.	Served inappropriately at about 40 deg	F.  This beer was cold.  It tasted	fine at that temp but I had to let it warm up 	for awhile.  It was worth the wait, as a	very interesting and complex character developed.	Very phenolic and funky - with a strong ester of	bubblegum.  Also a little clove or some kind of 	spice.  Strong but not overwhelming at all.  Surpisingly	easy to drink.
",0.85
10,"UPDATED: FEB 19, 2003 Springfield, PA. Sharp and cloyingly sweet.  The alcohol presence becomes more and more noticeable.
",0.55
11,"UPDATED: FEB 19, 2003 Springfield, PA. Interesting example.  The fruit flavors are very apparent, but the natural mildness of the currants keep the sweetness in check.  These flavors blend well with the white beer base.
",0.7
12,"From Springfield PA:  nice smooth	malty flavor, mildy fruity, but served	via nitro and thru a restrictor disc	(stout tap).  Thus, overly creamy and lacking	some of its original flavor.  I could tell there	was a pretty good beer in there.  Aroma difficult	to detect.
",0.7
13,"On tap at Springfield location.  Pours a translucent golden amber with really no head.  Aroma of caramel, grains and light hops.  Flavor was malty with a light hop presence.  Really kind of non-descript overall.
",0.6
14,"On tap at the Springfield, PA location. Poured a medium and see through orange color with a small sized off white head. Aromas and tastes on the weak side and contained some citrus, caramel, and grains. Body was thin and watery.
",0.45
15,"Handbottled from trade wth Sprinkle. Pours a nice dark copper color with medium size off white head. Aroma of bourbon, malt , hops and oak. Slight smokey flavor with a bourbon taste in the initial sip. Flavors of malt, vanilla and hops still remain although none dominate the brew. Taste is still very enjoyable with a smooth and balanced finish.
",0.75
16,"On tap at the Great Taste of the Midwest (8/9/08): Pours a transparent bright copper orange with an airy white head.  Aroma of sweet toasty pale malt and sweet light fruitiness with a good resiny piny hop character.  Body starts with decent fullness and sweet caramel malts with good balance of hop flavor and bitterness.  Finishes smooth and bittersweet, nicely aged and balanced.
",0.75
17,"UPDATED: JUL 7, 2009 On tap. Interesting experiment, but I liked regular Hopula better. Pours a dark amber with an off white head. Aroma is slightly wood and hops, but mostly bourbon. Flavor is everything I loved about Hopula, but with too much booze. Some nice vanilla notes, but bourbon constantly overpowers the Hopula. Just not my style, but would be very interesting if they reused the barrels.
",0.7
18,"On cask at BI - Aroma of the Hopula Play-Doh hops and malt with lots of oak, vanilla and bourbon.  Pours dark mahogany with a medium lasting head and great lacing.  Flavor is strong bourbon, too strong.  The base beer is hidden under there somewhere but is way overpowered.  I had trouble getting it down to be honest.
",0.65
19,"GTMW 08 on cask - Pours bronze orang with a minimal head.  The aroma has lots of vanilla and some bourbon and toasty malt.  Medium sticky body with light carbonation.  The flavor starts with the aroma traits with more caramel malt and earthy hops.  The finish has vanilla and okay dominating everything.  This kind of beer is just not down my alley.
",0.6
20,"Name: BA Count Hopula	Date: 08/09/2008	Mode: Draft	Source: Brewfest, Great Taste		Appearance: clear amber, frothy beige head, 	Aroma: sweet caramel malt aroma with liquid hops, 	Flavor: sweet bourbon flavor, vanilla sweetness, light balancing hops, 	Overall: a pale bourbon ale, 		Aroma: 7/10; Appearance: 6/10; Flavor: 7/10; Palate: 6/10; Overall: 13/20	Rating: 3.3/5.0Drinkability: 7/10	Score: **+/4
",0.65
21,"Aroma is sweet bourbon vanilla. Taste is sweet, hoppy, dank, and vanilla.  	Flavor was sweet, and earthy, as Ughsmash mentions.  	Scant notes as I was not impressed.
",0.7
22,"Cask at GTMW.  Poured coppery-amber with a loose cap of beige head.  The aroma picked up an interesting interplay of juicy floral notes, sweet bourbon, and vanilla.. unfortunately interesting in a way that they didnt really go together.. muted the IIPA-ness greatly.  The flavor was on the sweet side with restrained floral and earthy bitterness (likely due to aging).. lots of barrel again with sour bourbon and oak all over.. finished bourbon-ey with even more barrel.  Too sour on the palate, again with too much of the barrel.
",0.65
23,"Courtesy of Kim, handbottledCloudy amber color; creamy head. Creamy aroma, cheesy; berries, a bit sour. Weak body, fairly sour and astringent, a bit lemony. The astringency is the only interesting factor here.
",0.65
24,"Handbottled. A dark amber beer with a white head. The aroma ahs notes of malt, caramel, over ripe fruits, and hops. The flavor is sweet with notes of over ripe fruit, malt, and light notes of wood, leading to a dry finish. Thanks KimJohansen for sharing.
",0.65
25,"Handbottled, courtesy of KimJohansen. Pours hazy orange with a small white head. Aroma is fruity and slight acidic fruity. Citric and fruity fruity flavoured. Mild mouldy and fruity. Light spiced and fruity into a dry finish.
",0.7
26,"Handbottle at Paps 23-Apr-2010 - Thanks. Cloudy amber - caramel, fruity, buttery, berries, light sourish, nutty, fatness, light diacetyl notes, light bretty.
",0.75
27,"Bottle @ Paps. Thanks. Pours unclear amber with a small creamy head and lacings. Nose is quite vinous with notes of caramel and fruit. Flavor is tart and fruity with brett and a bit of caramel.
",0.65
28,"Handbottled form tap, at Paps.	Hazy golden coloured with a small white head.	Fruity aroma of spices and caramel with notes of butter.	Fruity flavour of caramel, hops and grass with notes of wallonian barnyard.	Fruity finish.
",0.65
29,"Hazy orange with a medium beige head. Sour aroma with lacto, brett, sour berries and toasted malt. Sour flavour with brett, toasted malt, sourish berries and breadish notes. Finished sourish and dry.
",0.65
30,"Bottled. Amber coloured. Unclear. Dense beige head. Aroma of sourness, fruits, grape. Flaovur of sweet sourness, citrus, fruits, light spice. Medium bodied. Dry sour grapyness in the end. thx Kim for sharing.
",0.65
31,"Handbottle 35,5 cl. Courtesy of KimJohansen. Pours a cloudy amber with a dense and lacing off-white head. Lovely aroma of Brett and wood. Medium body, very dry and fruity with an astringent driness rather than sour - lets call it slightly tart. Again ends very dry with quite some bitterness. 230410
",0.7
32,"On tap at Noblesville brewery - Aroma is pungent with lots of brett and oak.  Flavor brings forward some toasted malts but quickly falls back to doughy yeast, oak and brett giving it a nice funky sour finish.  Palate is tart and creamy.  A fantastic sour that would draw some attention if it got out of the brewery.
",0.85
33,"I was surprised by this one. A really nice local sour beer. Pours a great looking brown with a slight red hue. Not much head, but a good amount of lacing. Aroma is nutty, with cherries and a tartness to it. Very earthy. Flavor is nice and sour, lots of red fruits and nuts, with just a hint of yeast. The wood really comes into play here, and works nicely with the other elements. This one is tasty for sure.
",0.85
34,"UPDATED: DEC 12, 2009 Pours murky brown with a small brown head. Good bretty nost with some dusty malt. Brett and some oak take the flavor to a really wonder full place. Medium full body with a dry finish. Really a super unexpected treat.
",0.75
35,"Had this on tap last night at new Barley Island, broad ripple location. Pours medium brown with light tan head that fades. Nose is sweet brown malt and slightly sour brett. Taste is smooth, clean brown style malt with a perfectly balanced sour profile bringing in the brett flavor. I was skeptical of the at first, but it came out quite nicely IMHO. On the lighter side in terms of sour intensity, but the overall taste is very pleasant.
",0.75
36,"Bottle and served in my big old Tripel Karmeliet glass: Deep brown and has a mostly lasting frothy bubbles with spotty lace. The aroma has notes of bakers chocolate, toasty and charred malt, prune and starfruit esters, star anise, floral and herbal hops, a hint of rubber and pipe tobacco. The taste has a Schwarzbier like dry toasty black malt character with a ripened fruity backbone. A bit sugary in midesection and anise spice all over the place. Peaty bite and a hint of sea salt too. The mouth feel is the weak part of the beer, sort of just sits there on the palate offering nothingness. A good beer for what it is but I think I would rather have a New Belgium 1554 first.
",0.7
37,"This pours a clear chestnut body with a slender beige ring in place of a head.  No lacing.  The aroma is lightly roasted malt, faint floral scents, dark brown sugar, and licorice.  All remain in the flavor, which is a bit thin, the body being somewhat watery, with the addition of a soft dark fruitiness.  The aftertaste is one of licorice, not overbearing and annoying, but subtle.  Not bad.<font size=-4><a href=http://www.ratebeer.com/Places/ShowPlace.asp? Liquors, Porter, IN<font size=-1>
",0.7
38,"22 oz bottle pours a dark chestnut body with a one inch khaki head. Aroma is subtle, with perfumey florals, anise, and a sweet maltiness. Medium body supports some dark roasty notes, candy sugar, anise, dark fruits, and floral hops. Nicely complex and a good sipper.
",0.75
39,"Pints from BI at release party - This is going to be BIs entry for the ProAm category at GABF - Aroma is yeasty bubblegum and dark malts with a floral hint.  Pours very dark brown with a medium head and good lacing.  Flavor is roasted dark malts, bubblegum yeast, candi sugar and a touch of hops.  Palate is clean and a little sticky.  Hides alcohol well and is overall an easy drinking tasty brew.  Soon to be released in 22oz bottles.
",0.8
40,"A nice, malty ale with a definite Belgian quality to it, this one had an almost black appearance, lightly sweet nose, and a fairly light (medium at most) mouthfeel.  Not too heavy, and good with the bar food.
",0.65
41,"Poured into a snifter. Sinister Minister pours an extremely rich mahogany, with a slightly tan head, with a low retention rate, which leads to decent lacing. Aromas are of sweet malts, raisins, candi sugar, spices like cinnamon, nutmeg and clove. Sweet malty taste, spices, fall fruits, molasses. It kind of reminds me of a less carbonated Trois Pistoles. Crisp, clean and smooth mouthfeel. Not as carbonated which is nice. Very good drinkability. This is the first pro-am I have had, and it is a great one to start with.
",0.8
42,"(22oz bottle, 2007 vintage)  Pours a clear amber body with a small off-white head.  Aroma of roasted malt, Belgian yeast, banana, chocolate, and caramel.  Flavor of yeast, roasted malt, caramel, chocolate, and nuts.
",0.6
