Id,Text,Score
1,"Judging from previous posts this used to be a good place, but not any longer.",1
2,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",1
3,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",1
4,The food was lousy - too sweet or too salty and the portions tiny.,1
5,"After all that, they complained to me about the small tip.",1
6,Avoid this place!,1
7,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",5
8,Saul is the best restaurant on Smith Street and in Brooklyn.,5
9,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,5
10,The wine list is interesting and has many good values.,5
11,"For the price, you cannot eat this well in Manhattan.",5
12,I was very disappointed with this restaurant.,1
13,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,1
14,I had to ask her three times before she finally came back with the dish Ive requested.,1
15,"Food was okay, nothing great.",1
16,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,1
17,I/we will never go back to this place again.,1
18,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",5
19,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",5
20,You can't go wrong here.,5
21,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,5
22,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",5
23,I had the duck breast special on my last visit and it was incredible.,5
24,Can't wait wait for my next visit.,5
25,"I had my eyes on this place, promising myself I will one day 'give it a try.'",1
26,And I hate to say this but I doubt I'll ever go back.,1
27,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",1
28,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,5
29,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,5
30,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",1
31,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",1
32,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",5
33,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,1
34,What's the difference between the two?,1
35,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",5
36,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",5
37,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,5
38,we love th pink pony.,5
39,THe perfect spot.,5
40,Food-awesome.,5
41,Service- friendly and attentive.,5
42,Ambiance- relaxed and stylish.,5
43,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",5
44,"i have eaten here a handful of times, for no reason besides sheer convenience.",1
45,"(i hang out, and live, in the neighborhood..)",1
46,the food is decent.,1
47,"however, it's the service that leaves a bad taste in my mouth.",1
48,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",1
